attack_start,attack_kind,prob_prebunk,prob_immune,prob_share_indifferent,prob_share_disinfo,prob_share_facts,s,i,r
5,0,0.7,0.8,0.0,0.0,0.0,58.52,4.53,36.95
5,0,0.7,0.8,0.0,0.0,0.1,0.06,4.49,95.45
5,0,0.7,0.8,0.0,0.0,0.2,0.02,4.13,95.85
5,0,0.7,0.8,0.0,0.0,0.3,0.02,4.15,95.83
5,0,0.7,0.8,0.0,0.0,0.4,0.01,4.3,95.69
5,0,0.7,0.8,0.0,0.0,0.5,0.04,3.95,96.01
5,0,0.7,0.8,0.0,0.0,0.6,0.03,3.83,96.14
5,0,0.7,0.8,0.0,0.0,0.7,0.01,4.11,95.88
5,0,0.7,0.8,0.0,0.0,0.8,0.03,4.1,95.87
5,0,0.7,0.8,0.0,0.0,0.9,0.02,4.11,95.87
5,0,0.7,0.8,0.0,0.0,1.0,0.07,4.06,95.87
5,0,0.7,0.8,0.0,0.1,0.0,18.68,46.0,35.32
5,0,0.7,0.8,0.0,0.1,0.1,0.0,11.94,88.06
5,0,0.7,0.8,0.0,0.1,0.2,0.0,8.85,91.15
5,0,0.7,0.8,0.0,0.1,0.3,0.02,6.95,93.03
5,0,0.7,0.8,0.0,0.1,0.4,0.0,5.86,94.14
5,0,0.7,0.8,0.0,0.1,0.5,0.0,4.94,95.06
5,0,0.7,0.8,0.0,0.1,0.6,0.05,4.52,95.43
5,0,0.7,0.8,0.0,0.1,0.7,0.0,4.18,95.82
5,0,0.7,0.8,0.0,0.1,0.8,0.0,4.35,95.65
5,0,0.7,0.8,0.0,0.1,0.9,0.01,4.56,95.43
5,0,0.7,0.8,0.0,0.1,1.0,0.02,4.11,95.87
5,0,0.7,0.8,0.0,0.2,0.0,18.82,45.5,35.68
5,0,0.7,0.8,0.0,0.2,0.1,0.05,17.91,82.04
5,0,0.7,0.8,0.0,0.2,0.2,0.01,11.53,88.46
5,0,0.7,0.8,0.0,0.2,0.3,0.02,6.62,93.36
5,0,0.7,0.8,0.0,0.2,0.4,0.01,7.0,92.99
5,0,0.7,0.8,0.0,0.2,0.5,0.0,5.56,94.44
5,0,0.7,0.8,0.0,0.2,0.6,0.01,5.08,94.91
5,0,0.7,0.8,0.0,0.2,0.7,0.04,4.74,95.22
5,0,0.7,0.8,0.0,0.2,0.8,0.01,4.34,95.65
5,0,0.7,0.8,0.0,0.2,0.9,0.02,4.55,95.43
5,0,0.7,0.8,0.0,0.2,1.0,0.03,4.12,95.85
5,0,0.7,0.8,0.0,0.3,0.0,16.21,48.32,35.47
5,0,0.7,0.8,0.0,0.3,0.1,0.0,22.5,77.5
5,0,0.7,0.8,0.0,0.3,0.2,0.01,13.21,86.78
5,0,0.7,0.8,0.0,0.3,0.3,0.0,9.56,90.44
5,0,0.7,0.8,0.0,0.3,0.4,0.01,7.55,92.44
5,0,0.7,0.8,0.0,0.3,0.5,0.02,7.59,92.39
5,0,0.7,0.8,0.0,0.3,0.6,0.02,6.14,93.84
5,0,0.7,0.8,0.0,0.3,0.7,0.02,4.71,95.27
5,0,0.7,0.8,0.0,0.3,0.8,0.04,4.86,95.1
5,0,0.7,0.8,0.0,0.3,0.9,0.0,4.62,95.38
5,0,0.7,0.8,0.0,0.3,1.0,0.01,4.36,95.63
5,0,0.7,0.8,0.0,0.4,0.0,18.38,45.27,36.35
5,0,0.7,0.8,0.0,0.4,0.1,0.0,24.98,75.02
5,0,0.7,0.8,0.0,0.4,0.2,0.03,17.22,82.75
5,0,0.7,0.8,0.0,0.4,0.3,0.0,11.59,88.41
5,0,0.7,0.8,0.0,0.4,0.4,0.02,9.78,90.2
5,0,0.7,0.8,0.0,0.4,0.5,0.0,8.04,91.96
5,0,0.7,0.8,0.0,0.4,0.6,0.02,6.03,93.95
5,0,0.7,0.8,0.0,0.4,0.7,0.0,7.22,92.78
5,0,0.7,0.8,0.0,0.4,0.8,0.02,4.71,95.27
5,0,0.7,0.8,0.0,0.4,0.9,0.01,4.97,95.02
5,0,0.7,0.8,0.0,0.4,1.0,0.0,4.66,95.34
5,0,0.7,0.8,0.0,0.5,0.0,19.42,45.88,34.7
5,0,0.7,0.8,0.0,0.5,0.1,0.0,24.86,75.14
5,0,0.7,0.8,0.0,0.5,0.2,0.0,14.43,85.57
5,0,0.7,0.8,0.0,0.5,0.3,0.0,13.38,86.62
5,0,0.7,0.8,0.0,0.5,0.4,0.01,10.71,89.28
5,0,0.7,0.8,0.0,0.5,0.5,0.01,8.09,91.9
5,0,0.7,0.8,0.0,0.5,0.6,0.01,7.87,92.12
5,0,0.7,0.8,0.0,0.5,0.7,0.0,6.15,93.85
5,0,0.7,0.8,0.0,0.5,0.8,0.01,4.96,95.03
5,0,0.7,0.8,0.0,0.5,0.9,0.0,5.49,94.51
5,0,0.7,0.8,0.0,0.5,1.0,0.02,5.46,94.52
5,0,0.7,0.8,0.0,0.6,0.0,13.41,49.91,36.68
5,0,0.7,0.8,0.0,0.6,0.1,0.01,27.35,72.64
5,0,0.7,0.8,0.0,0.6,0.2,0.0,21.29,78.71
5,0,0.7,0.8,0.0,0.6,0.3,0.01,14.41,85.58
5,0,0.7,0.8,0.0,0.6,0.4,0.02,11.03,88.95
5,0,0.7,0.8,0.0,0.6,0.5,0.0,9.39,90.61
5,0,0.7,0.8,0.0,0.6,0.6,0.01,7.29,92.7
5,0,0.7,0.8,0.0,0.6,0.7,0.01,7.21,92.78
5,0,0.7,0.8,0.0,0.6,0.8,0.01,8.15,91.84
5,0,0.7,0.8,0.0,0.6,0.9,0.0,5.82,94.18
5,0,0.7,0.8,0.0,0.6,1.0,0.0,5.49,94.51
5,0,0.7,0.8,0.0,0.7,0.0,21.13,42.39,36.48
5,0,0.7,0.8,0.0,0.7,0.1,0.0,27.08,72.92
5,0,0.7,0.8,0.0,0.7,0.2,0.02,21.93,78.05
5,0,0.7,0.8,0.0,0.7,0.3,0.0,15.87,84.13
5,0,0.7,0.8,0.0,0.7,0.4,0.0,12.87,87.13
5,0,0.7,0.8,0.0,0.7,0.5,0.0,10.91,89.09
5,0,0.7,0.8,0.0,0.7,0.6,0.0,8.71,91.29
5,0,0.7,0.8,0.0,0.7,0.7,0.02,7.35,92.63
5,0,0.7,0.8,0.0,0.7,0.8,0.04,6.93,93.03
5,0,0.7,0.8,0.0,0.7,0.9,0.01,5.63,94.36
5,0,0.7,0.8,0.0,0.7,1.0,0.07,5.53,94.4
5,0,0.7,0.8,0.0,0.8,0.0,15.73,49.79,34.48
5,0,0.7,0.8,0.0,0.8,0.1,0.0,29.74,70.26
5,0,0.7,0.8,0.0,0.8,0.2,0.0,23.09,76.91
5,0,0.7,0.8,0.0,0.8,0.3,0.01,17.13,82.86
5,0,0.7,0.8,0.0,0.8,0.4,0.02,15.6,84.38
5,0,0.7,0.8,0.0,0.8,0.5,0.01,13.01,86.98
5,0,0.7,0.8,0.0,0.8,0.6,0.02,9.26,90.72
5,0,0.7,0.8,0.0,0.8,0.7,0.0,9.52,90.48
5,0,0.7,0.8,0.0,0.8,0.8,0.06,7.42,92.52
5,0,0.7,0.8,0.0,0.8,0.9,0.0,6.16,93.84
5,0,0.7,0.8,0.0,0.8,1.0,0.03,5.81,94.16
5,0,0.7,0.8,0.0,0.9,0.0,19.21,45.36,35.43
5,0,0.7,0.8,0.0,0.9,0.1,0.0,34.62,65.38
5,0,0.7,0.8,0.0,0.9,0.2,0.01,24.71,75.28
5,0,0.7,0.8,0.0,0.9,0.3,0.0,18.07,81.93
5,0,0.7,0.8,0.0,0.9,0.4,0.0,15.81,84.19
5,0,0.7,0.8,0.0,0.9,0.5,0.0,11.83,88.17
5,0,0.7,0.8,0.0,0.9,0.6,0.03,9.65,90.32
5,0,0.7,0.8,0.0,0.9,0.7,0.0,7.97,92.03
5,0,0.7,0.8,0.0,0.9,0.8,0.01,7.79,92.2
5,0,0.7,0.8,0.0,0.9,0.9,0.06,6.37,93.57
5,0,0.7,0.8,0.0,0.9,1.0,0.01,5.87,94.12
5,0,0.7,0.8,0.0,1.0,0.0,14.98,49.19,35.83
5,0,0.7,0.8,0.0,1.0,0.1,0.0,34.55,65.45
5,0,0.7,0.8,0.0,1.0,0.2,0.01,25.2,74.79
5,0,0.7,0.8,0.0,1.0,0.3,0.0,20.5,79.5
5,0,0.7,0.8,0.0,1.0,0.4,0.0,18.0,82.0
5,0,0.7,0.8,0.0,1.0,0.5,0.0,15.18,84.82
5,0,0.7,0.8,0.0,1.0,0.6,0.01,11.7,88.29
5,0,0.7,0.8,0.0,1.0,0.7,0.0,9.18,90.82
5,0,0.7,0.8,0.0,1.0,0.8,0.0,7.64,92.36
5,0,0.7,0.8,0.0,1.0,0.9,0.02,7.46,92.52
5,0,0.7,0.8,0.0,1.0,1.0,0.01,6.11,93.88
5,0,0.7,0.8,0.1,0.0,0.0,60.04,4.84,35.12
5,0,0.7,0.8,0.1,0.0,0.1,0.05,4.2,95.75
5,0,0.7,0.8,0.1,0.0,0.2,0.03,4.14,95.83
5,0,0.7,0.8,0.1,0.0,0.3,0.03,3.77,96.2
5,0,0.7,0.8,0.1,0.0,0.4,0.01,3.41,96.58
5,0,0.7,0.8,0.1,0.0,0.5,0.01,3.71,96.28
5,0,0.7,0.8,0.1,0.0,0.6,0.04,3.38,96.58
5,0,0.7,0.8,0.1,0.0,0.7,0.05,3.29,96.66
5,0,0.7,0.8,0.1,0.0,0.8,0.02,3.3,96.68
5,0,0.7,0.8,0.1,0.0,0.9,0.01,3.23,96.76
5,0,0.7,0.8,0.1,0.0,1.0,0.03,3.29,96.68
5,0,0.7,0.8,0.1,0.1,0.0,18.15,45.04,36.81
5,0,0.7,0.8,0.1,0.1,0.1,0.0,9.51,90.49
5,0,0.7,0.8,0.1,0.1,0.2,0.04,6.38,93.58
5,0,0.7,0.8,0.1,0.1,0.3,0.01,5.4,94.59
5,0,0.7,0.8,0.1,0.1,0.4,0.01,4.67,95.32
5,0,0.7,0.8,0.1,0.1,0.5,0.0,3.71,96.29
5,0,0.7,0.8,0.1,0.1,0.6,0.0,3.6,96.4
5,0,0.7,0.8,0.1,0.1,0.7,0.06,3.91,96.03
5,0,0.7,0.8,0.1,0.1,0.8,0.01,3.7,96.29
5,0,0.7,0.8,0.1,0.1,0.9,0.0,3.5,96.5
5,0,0.7,0.8,0.1,0.1,1.0,0.01,3.32,96.67
5,0,0.7,0.8,0.1,0.2,0.0,17.61,45.46,36.93
5,0,0.7,0.8,0.1,0.2,0.1,0.0,14.78,85.22
5,0,0.7,0.8,0.1,0.2,0.2,0.0,7.86,92.14
5,0,0.7,0.8,0.1,0.2,0.3,0.0,7.15,92.85
5,0,0.7,0.8,0.1,0.2,0.4,0.0,5.58,94.42
5,0,0.7,0.8,0.1,0.2,0.5,0.04,4.7,95.26
5,0,0.7,0.8,0.1,0.2,0.6,0.0,4.38,95.62
5,0,0.7,0.8,0.1,0.2,0.7,0.01,4.1,95.89
5,0,0.7,0.8,0.1,0.2,0.8,0.01,3.75,96.24
5,0,0.7,0.8,0.1,0.2,0.9,0.01,3.78,96.21
5,0,0.7,0.8,0.1,0.2,1.0,0.01,3.22,96.77
5,0,0.7,0.8,0.1,0.3,0.0,18.09,45.35,36.56
5,0,0.7,0.8,0.1,0.3,0.1,0.0,21.32,78.68
5,0,0.7,0.8,0.1,0.3,0.2,0.0,11.13,88.87
5,0,0.7,0.8,0.1,0.3,0.3,0.0,8.21,91.79
5,0,0.7,0.8,0.1,0.3,0.4,0.01,5.93,94.06
5,0,0.7,0.8,0.1,0.3,0.5,0.0,5.03,94.97
5,0,0.7,0.8,0.1,0.3,0.6,0.01,4.31,95.68
5,0,0.7,0.8,0.1,0.3,0.7,0.03,4.14,95.83
5,0,0.7,0.8,0.1,0.3,0.8,0.01,4.02,95.97
5,0,0.7,0.8,0.1,0.3,0.9,0.0,3.96,96.04
5,0,0.7,0.8,0.1,0.3,1.0,0.0,3.37,96.63
5,0,0.7,0.8,0.1,0.4,0.0,20.75,41.92,37.33
5,0,0.7,0.8,0.1,0.4,0.1,0.0,22.01,77.99
5,0,0.7,0.8,0.1,0.4,0.2,0.0,12.0,88.0
5,0,0.7,0.8,0.1,0.4,0.3,0.0,8.17,91.83
5,0,0.7,0.8,0.1,0.4,0.4,0.0,7.69,92.31
5,0,0.7,0.8,0.1,0.4,0.5,0.03,6.36,93.61
5,0,0.7,0.8,0.1,0.4,0.6,0.01,5.01,94.98
5,0,0.7,0.8,0.1,0.4,0.7,0.0,4.91,95.09
5,0,0.7,0.8,0.1,0.4,0.8,0.02,3.69,96.29
5,0,0.7,0.8,0.1,0.4,0.9,0.01,3.9,96.09
5,0,0.7,0.8,0.1,0.4,1.0,0.0,3.55,96.45
5,0,0.7,0.8,0.1,0.5,0.0,18.29,44.89,36.82
5,0,0.7,0.8,0.1,0.5,0.1,0.0,20.99,79.01
5,0,0.7,0.8,0.1,0.5,0.2,0.01,13.55,86.44
5,0,0.7,0.8,0.1,0.5,0.3,0.0,8.7,91.3
5,0,0.7,0.8,0.1,0.5,0.4,0.0,8.21,91.79
5,0,0.7,0.8,0.1,0.5,0.5,0.0,5.5,94.5
5,0,0.7,0.8,0.1,0.5,0.6,0.0,5.08,94.92
5,0,0.7,0.8,0.1,0.5,0.7,0.0,3.98,96.02
5,0,0.7,0.8,0.1,0.5,0.8,0.0,4.01,95.99
5,0,0.7,0.8,0.1,0.5,0.9,0.01,3.92,96.07
5,0,0.7,0.8,0.1,0.5,1.0,0.02,3.96,96.02
5,0,0.7,0.8,0.1,0.6,0.0,17.62,46.46,35.92
5,0,0.7,0.8,0.1,0.6,0.1,0.01,26.41,73.58
5,0,0.7,0.8,0.1,0.6,0.2,0.0,16.13,83.87
5,0,0.7,0.8,0.1,0.6,0.3,0.02,12.08,87.9
5,0,0.7,0.8,0.1,0.6,0.4,0.05,8.28,91.67
