attack_start,attack_kind,prob_prebunk,prob_immune,prob_share_indifferent,prob_share_disinfo,prob_share_facts,s,i,r
5,0,0.1,0.6,0.0,0.0,0.0,88.06,5.77,6.17
5,0,0.1,0.6,0.0,0.0,0.1,33.95,5.88,60.17
5,0,0.1,0.6,0.0,0.0,0.2,9.19,5.79,85.02
5,0,0.1,0.6,0.0,0.0,0.3,3.7,5.82,90.48
5,0,0.1,0.6,0.0,0.0,0.4,1.9,5.92,92.18
5,0,0.1,0.6,0.0,0.0,0.5,1.13,5.59,93.28
5,0,0.1,0.6,0.0,0.0,0.6,1.03,5.74,93.23
5,0,0.1,0.6,0.0,0.0,0.7,0.82,5.72,93.46
5,0,0.1,0.6,0.0,0.0,0.8,1.15,5.74,93.11
5,0,0.1,0.6,0.0,0.0,0.9,0.82,5.53,93.65
5,0,0.1,0.6,0.0,0.0,1.0,0.71,5.17,94.12
5,0,0.1,0.6,0.0,0.1,0.0,8.77,85.01,6.22
5,0,0.1,0.6,0.0,0.1,0.1,4.36,73.24,22.4
5,0,0.1,0.6,0.0,0.1,0.2,1.03,62.66,36.31
5,0,0.1,0.6,0.0,0.1,0.3,0.43,50.53,49.04
5,0,0.1,0.6,0.0,0.1,0.4,0.21,39.08,60.71
5,0,0.1,0.6,0.0,0.1,0.5,0.23,30.53,69.24
5,0,0.1,0.6,0.0,0.1,0.6,0.32,31.48,68.2
5,0,0.1,0.6,0.0,0.1,0.7,0.44,21.12,78.44
5,0,0.1,0.6,0.0,0.1,0.8,0.22,18.01,81.77
5,0,0.1,0.6,0.0,0.1,0.9,0.48,12.0,87.52
5,0,0.1,0.6,0.0,0.1,1.0,0.3,9.53,90.17
5,0,0.1,0.6,0.0,0.2,0.0,5.87,88.37,5.76
5,0,0.1,0.6,0.0,0.2,0.1,3.62,79.36,17.02
5,0,0.1,0.6,0.0,0.2,0.2,0.68,75.51,23.81
5,0,0.1,0.6,0.0,0.2,0.3,0.4,65.1,34.5
5,0,0.1,0.6,0.0,0.2,0.4,0.08,58.68,41.24
5,0,0.1,0.6,0.0,0.2,0.5,0.13,44.66,55.21
5,0,0.1,0.6,0.0,0.2,0.6,0.15,42.05,57.8
5,0,0.1,0.6,0.0,0.2,0.7,0.26,34.52,65.22
5,0,0.1,0.6,0.0,0.2,0.8,0.22,26.31,73.47
5,0,0.1,0.6,0.0,0.2,0.9,0.25,19.14,80.61
5,0,0.1,0.6,0.0,0.2,1.0,0.32,14.81,84.87
5,0,0.1,0.6,0.0,0.3,0.0,9.52,84.63,5.85
5,0,0.1,0.6,0.0,0.3,0.1,3.11,79.18,17.71
5,0,0.1,0.6,0.0,0.3,0.2,0.55,76.14,23.31
5,0,0.1,0.6,0.0,0.3,0.3,0.26,64.91,34.83
5,0,0.1,0.6,0.0,0.3,0.4,0.23,55.5,44.27
5,0,0.1,0.6,0.0,0.3,0.5,0.09,52.88,47.03
5,0,0.1,0.6,0.0,0.3,0.6,0.09,48.3,51.61
5,0,0.1,0.6,0.0,0.3,0.7,0.18,43.91,55.91
5,0,0.1,0.6,0.0,0.3,0.8,0.16,35.06,64.78
5,0,0.1,0.6,0.0,0.3,0.9,0.11,31.88,68.01
5,0,0.1,0.6,0.0,0.3,1.0,0.34,20.76,78.9
5,0,0.1,0.6,0.0,0.4,0.0,7.04,87.0,5.96
5,0,0.1,0.6,0.0,0.4,0.1,1.99,83.36,14.65
5,0,0.1,0.6,0.0,0.4,0.2,1.15,73.2,25.65
5,0,0.1,0.6,0.0,0.4,0.3,0.41,68.63,30.96
5,0,0.1,0.6,0.0,0.4,0.4,0.31,66.51,33.18
5,0,0.1,0.6,0.0,0.4,0.5,0.21,57.91,41.88
5,0,0.1,0.6,0.0,0.4,0.6,0.08,53.98,45.94
5,0,0.1,0.6,0.0,0.4,0.7,0.12,47.47,52.41
5,0,0.1,0.6,0.0,0.4,0.8,0.12,39.13,60.75
5,0,0.1,0.6,0.0,0.4,0.9,0.1,33.86,66.04
5,0,0.1,0.6,0.0,0.4,1.0,0.2,24.03,75.77
5,0,0.1,0.6,0.0,0.5,0.0,9.42,84.53,6.05
5,0,0.1,0.6,0.0,0.5,0.1,2.9,80.12,16.98
5,0,0.1,0.6,0.0,0.5,0.2,0.4,84.97,14.63
5,0,0.1,0.6,0.0,0.5,0.3,0.19,74.24,25.57
5,0,0.1,0.6,0.0,0.5,0.4,0.11,70.03,29.86
5,0,0.1,0.6,0.0,0.5,0.5,0.04,65.76,34.2
5,0,0.1,0.6,0.0,0.5,0.6,0.11,60.34,39.55
5,0,0.1,0.6,0.0,0.5,0.7,0.05,51.05,48.9
5,0,0.1,0.6,0.0,0.5,0.8,0.13,39.34,60.53
5,0,0.1,0.6,0.0,0.5,0.9,0.21,31.49,68.3
5,0,0.1,0.6,0.0,0.5,1.0,0.19,24.79,75.02
5,0,0.1,0.6,0.0,0.6,0.0,12.21,81.83,5.96
5,0,0.1,0.6,0.0,0.6,0.1,3.59,81.58,14.83
5,0,0.1,0.6,0.0,0.6,0.2,0.46,78.85,20.69
