attack_start,attack_kind,prob_prebunk,prob_immune,prob_share_indifferent,prob_share_disinfo,prob_share_facts,s,i,r
5,2,0.0,0.1,0.0,0.0,0.0,93.03,5.97,1.0
5,2,0.0,0.1,0.0,0.0,0.1,92.91,6.09,1.0
5,2,0.0,0.1,0.0,0.0,0.2,93.04,5.96,1.0
5,2,0.0,0.1,0.0,0.0,0.3,92.94,6.06,1.0
5,2,0.0,0.1,0.0,0.0,0.4,92.93,6.07,1.0
5,2,0.0,0.1,0.0,0.0,0.5,93.08,5.92,1.0
5,2,0.0,0.1,0.0,0.0,0.6,92.98,6.02,1.0
5,2,0.0,0.1,0.0,0.0,0.7,92.95,6.05,1.0
5,2,0.0,0.1,0.0,0.0,0.8,92.86,6.14,1.0
5,2,0.0,0.1,0.0,0.0,0.9,92.8,6.2,1.0
5,2,0.0,0.1,0.0,0.0,1.0,92.66,6.34,1.0
5,2,0.0,0.1,0.0,0.1,0.0,8.36,90.64,1.0
5,2,0.0,0.1,0.0,0.1,0.1,10.18,88.82,1.0
5,2,0.0,0.1,0.0,0.1,0.2,8.18,90.82,1.0
5,2,0.0,0.1,0.0,0.1,0.3,13.92,85.08,1.0
5,2,0.0,0.1,0.0,0.1,0.4,4.54,94.46,1.0
5,2,0.0,0.1,0.0,0.1,0.5,8.35,90.65,1.0
5,2,0.0,0.1,0.0,0.1,0.6,12.19,86.81,1.0
5,2,0.0,0.1,0.0,0.1,0.7,10.24,88.76,1.0
5,2,0.0,0.1,0.0,0.1,0.8,16.13,82.87,1.0
5,2,0.0,0.1,0.0,0.1,0.9,17.86,81.14,1.0
5,2,0.0,0.1,0.0,0.1,1.0,28.94,70.06,1.0
5,2,0.0,0.1,0.0,0.2,0.0,11.05,87.95,1.0
5,2,0.0,0.1,0.0,0.2,0.1,11.01,87.99,1.0
5,2,0.0,0.1,0.0,0.2,0.2,13.68,85.32,1.0
5,2,0.0,0.1,0.0,0.2,0.3,5.57,93.43,1.0
5,2,0.0,0.1,0.0,0.2,0.4,14.7,84.3,1.0
5,2,0.0,0.1,0.0,0.2,0.5,8.24,90.76,1.0
5,2,0.0,0.1,0.0,0.2,0.6,4.52,94.48,1.0
5,2,0.0,0.1,0.0,0.2,0.7,10.86,88.14,1.0
5,2,0.0,0.1,0.0,0.2,0.8,9.12,89.88,1.0
5,2,0.0,0.1,0.0,0.2,0.9,10.37,88.63,1.0
5,2,0.0,0.1,0.0,0.2,1.0,21.48,77.52,1.0
5,2,0.0,0.1,0.0,0.3,0.0,10.05,88.95,1.0
5,2,0.0,0.1,0.0,0.3,0.1,5.61,93.39,1.0
