attack_start,attack_kind,prob_prebunk,prob_immune,prob_share_indifferent,prob_share_disinfo,prob_share_facts,s,i,r
5,2,0.0,0.6,0.0,0.0,0.0,92.9,6.1,1.0
5,2,0.0,0.6,0.0,0.0,0.1,92.82,6.18,1.0
5,2,0.0,0.6,0.0,0.0,0.2,92.86,6.14,1.0
5,2,0.0,0.6,0.0,0.0,0.3,92.95,6.05,1.0
5,2,0.0,0.6,0.0,0.0,0.4,92.76,6.24,1.0
5,2,0.0,0.6,0.0,0.0,0.5,92.98,6.02,1.0
5,2,0.0,0.6,0.0,0.0,0.6,92.75,6.25,1.0
5,2,0.0,0.6,0.0,0.0,0.7,92.93,6.07,1.0
5,2,0.0,0.6,0.0,0.0,0.8,92.97,6.03,1.0
5,2,0.0,0.6,0.0,0.0,0.9,92.8,6.2,1.0
5,2,0.0,0.6,0.0,0.0,1.0,92.89,6.11,1.0
5,2,0.0,0.6,0.0,0.1,0.0,7.35,91.65,1.0
5,2,0.0,0.6,0.0,0.1,0.1,8.19,90.81,1.0
5,2,0.0,0.6,0.0,0.1,0.2,10.28,88.72,1.0
5,2,0.0,0.6,0.0,0.1,0.3,12.9,86.1,1.0
5,2,0.0,0.6,0.0,0.1,0.4,10.09,88.91,1.0
5,2,0.0,0.6,0.0,0.1,0.5,5.54,93.46,1.0
5,2,0.0,0.6,0.0,0.1,0.6,4.89,94.11,1.0
5,2,0.0,0.6,0.0,0.1,0.7,7.08,91.92,1.0
5,2,0.0,0.6,0.0,0.1,0.8,9.31,89.69,1.0
5,2,0.0,0.6,0.0,0.1,0.9,9.99,89.01,1.0
5,2,0.0,0.6,0.0,0.1,1.0,28.79,70.21,1.0
5,2,0.0,0.6,0.0,0.2,0.0,6.5,92.5,1.0
5,2,0.0,0.6,0.0,0.2,0.1,9.27,89.73,1.0
5,2,0.0,0.6,0.0,0.2,0.2,10.68,88.32,1.0
5,2,0.0,0.6,0.0,0.2,0.3,7.47,91.53,1.0
5,2,0.0,0.6,0.0,0.2,0.4,6.42,92.58,1.0
5,2,0.0,0.6,0.0,0.2,0.5,9.05,89.95,1.0
5,2,0.0,0.6,0.0,0.2,0.6,10.96,88.04,1.0
5,2,0.0,0.6,0.0,0.2,0.7,8.22,90.78,1.0
5,2,0.0,0.6,0.0,0.2,0.8,10.14,88.86,1.0
5,2,0.0,0.6,0.0,0.2,0.9,8.32,90.68,1.0
5,2,0.0,0.6,0.0,0.2,1.0,20.92,78.08,1.0
5,2,0.0,0.6,0.0,0.3,0.0,7.42,91.58,1.0
