attack_start,attack_kind,prob_prebunk,prob_immune,prob_share_indifferent,prob_share_disinfo,prob_share_facts,s,i,r
5,2,0.5,0.0,0.0,0.0,0.0,68.98,5.93,25.09
5,2,0.5,0.0,0.0,0.0,0.1,46.74,6.14,47.12
5,2,0.5,0.0,0.0,0.0,0.2,45.52,6.33,48.15
5,2,0.5,0.0,0.0,0.0,0.3,45.13,6.02,48.85
5,2,0.5,0.0,0.0,0.0,0.4,46.49,5.98,47.53
5,2,0.5,0.0,0.0,0.0,0.5,44.95,6.03,49.02
5,2,0.5,0.0,0.0,0.0,0.6,45.32,6.17,48.51
5,2,0.5,0.0,0.0,0.0,0.7,45.46,6.36,48.18
5,2,0.5,0.0,0.0,0.0,0.8,45.79,6.22,47.99
5,2,0.5,0.0,0.0,0.0,0.9,43.28,5.94,50.78
5,2,0.5,0.0,0.0,0.0,1.0,44.5,5.94,49.56
5,2,0.5,0.0,0.0,0.1,0.0,13.03,60.89,26.08
5,2,0.5,0.0,0.0,0.1,0.1,7.05,53.19,39.76
5,2,0.5,0.0,0.0,0.1,0.2,10.5,46.26,43.24
5,2,0.5,0.0,0.0,0.1,0.3,8.95,45.32,45.73
5,2,0.5,0.0,0.0,0.1,0.4,8.82,47.67,43.51
5,2,0.5,0.0,0.0,0.1,0.5,9.49,43.61,46.9
5,2,0.5,0.0,0.0,0.1,0.6,7.54,44.33,48.13
5,2,0.5,0.0,0.0,0.1,0.7,8.36,44.22,47.42
5,2,0.5,0.0,0.0,0.1,0.8,11.31,40.67,48.02
5,2,0.5,0.0,0.0,0.1,0.9,8.41,43.99,47.6
5,2,0.5,0.0,0.0,0.1,1.0,7.51,45.35,47.14
5,2,0.5,0.0,0.0,0.2,0.0,8.99,65.77,25.24
5,2,0.5,0.0,0.0,0.2,0.1,3.84,60.97,35.19
5,2,0.5,0.0,0.0,0.2,0.2,6.64,53.29,40.07
5,2,0.5,0.0,0.0,0.2,0.3,10.21,47.26,42.53
5,2,0.5,0.0,0.0,0.2,0.4,8.18,46.01,45.81
5,2,0.5,0.0,0.0,0.2,0.5,10.43,44.16,45.41
5,2,0.5,0.0,0.0,0.2,0.6,8.39,46.59,45.02
5,2,0.5,0.0,0.0,0.2,0.7,10.62,42.48,46.9
5,2,0.5,0.0,0.0,0.2,0.8,8.79,42.88,48.33
5,2,0.5,0.0,0.0,0.2,0.9,9.65,42.14,48.21
5,2,0.5,0.0,0.0,0.2,1.0,13.08,37.46,49.46
5,2,0.5,0.0,0.0,0.3,0.0,3.33,72.1,24.57
5,2,0.5,0.0,0.0,0.3,0.1,5.57,60.65,33.78
5,2,0.5,0.0,0.0,0.3,0.2,3.36,60.34,36.3
5,2,0.5,0.0,0.0,0.3,0.3,4.39,57.52,38.09
5,2,0.5,0.0,0.0,0.3,0.4,8.0,48.85,43.15
5,2,0.5,0.0,0.0,0.3,0.5,10.2,44.23,45.57
5,2,0.5,0.0,0.0,0.3,0.6,7.91,48.82,43.27
5,2,0.5,0.0,0.0,0.3,0.7,10.08,43.02,46.9
5,2,0.5,0.0,0.0,0.3,0.8,8.08,44.38,47.54
5,2,0.5,0.0,0.0,0.3,0.9,10.62,39.84,49.54
5,2,0.5,0.0,0.0,0.3,1.0,8.76,43.51,47.73
5,2,0.5,0.0,0.0,0.4,0.0,7.12,68.04,24.84
5,2,0.5,0.0,0.0,0.4,0.1,7.35,59.2,33.45
5,2,0.5,0.0,0.0,0.4,0.2,5.59,58.8,35.61
5,2,0.5,0.0,0.0,0.4,0.3,5.5,56.85,37.65
5,2,0.5,0.0,0.0,0.4,0.4,6.86,52.5,40.64
5,2,0.5,0.0,0.0,0.4,0.5,6.34,52.04,41.62
5,2,0.5,0.0,0.0,0.4,0.6,5.03,51.86,43.11
5,2,0.5,0.0,0.0,0.4,0.7,7.92,45.19,46.89
5,2,0.5,0.0,0.0,0.4,0.8,6.76,46.95,46.29
5,2,0.5,0.0,0.0,0.4,0.9,7.77,44.94,47.29
5,2,0.5,0.0,0.0,0.4,1.0,8.72,42.36,48.92
5,2,0.5,0.0,0.0,0.5,0.0,4.97,69.45,25.58
5,2,0.5,0.0,0.0,0.5,0.1,5.63,61.88,32.49
5,2,0.5,0.0,0.0,0.5,0.2,8.23,56.62,35.15
5,2,0.5,0.0,0.0,0.5,0.3,8.13,55.05,36.82
5,2,0.5,0.0,0.0,0.5,0.4,7.47,52.69,39.84
5,2,0.5,0.0,0.0,0.5,0.5,8.34,49.74,41.92
5,2,0.5,0.0,0.0,0.5,0.6,5.68,52.08,42.24
5,2,0.5,0.0,0.0,0.5,0.7,10.3,44.92,44.78
5,2,0.5,0.0,0.0,0.5,0.8,8.37,44.96,46.67
5,2,0.5,0.0,0.0,0.5,0.9,9.34,43.32,47.34
5,2,0.5,0.0,0.0,0.5,1.0,9.3,42.75,47.95
5,2,0.5,0.0,0.0,0.6,0.0,8.74,66.77,24.49
5,2,0.5,0.0,0.0,0.6,0.1,8.43,60.13,31.44
5,2,0.5,0.0,0.0,0.6,0.2,9.06,55.97,34.97
5,2,0.5,0.0,0.0,0.6,0.3,5.71,58.68,35.61
5,2,0.5,0.0,0.0,0.6,0.4,8.29,52.67,39.04
5,2,0.5,0.0,0.0,0.6,0.5,7.71,52.53,39.76
5,2,0.5,0.0,0.0,0.6,0.6,6.57,50.16,43.27
5,2,0.5,0.0,0.0,0.6,0.7,10.71,43.21,46.08
5,2,0.5,0.0,0.0,0.6,0.8,6.48,49.12,44.4
5,2,0.5,0.0,0.0,0.6,0.9,10.82,42.63,46.55
5,2,0.5,0.0,0.0,0.6,1.0,7.44,45.21,47.35
5,2,0.5,0.0,0.0,0.7,0.0,2.89,72.34,24.77
5,2,0.5,0.0,0.0,0.7,0.1,8.48,59.7,31.82
5,2,0.5,0.0,0.0,0.7,0.2,4.89,61.17,33.94
5,2,0.5,0.0,0.0,0.7,0.3,5.89,58.61,35.5
5,2,0.5,0.0,0.0,0.7,0.4,5.39,56.46,38.15
5,2,0.5,0.0,0.0,0.7,0.5,6.89,52.03,41.08
5,2,0.5,0.0,0.0,0.7,0.6,7.33,50.15,42.52
5,2,0.5,0.0,0.0,0.7,0.7,9.09,47.03,43.88
5,2,0.5,0.0,0.0,0.7,0.8,6.37,50.67,42.96
5,2,0.5,0.0,0.0,0.7,0.9,8.63,45.13,46.24
5,2,0.5,0.0,0.0,0.7,1.0,9.16,44.32,46.52
5,2,0.5,0.0,0.0,0.8,0.0,7.91,67.03,25.06
5,2,0.5,0.0,0.0,0.8,0.1,5.79,63.78,30.43
