attack_start,attack_kind,prob_prebunk,prob_immune,prob_share_indifferent,prob_share_disinfo,prob_share_facts,s,i,r
5,2,0.5,0.7,0.0,0.0,0.0,68.7,6.02,25.28
5,2,0.5,0.7,0.0,0.0,0.1,0.28,6.07,93.65
5,2,0.5,0.7,0.0,0.0,0.2,0.15,6.02,93.83
5,2,0.5,0.7,0.0,0.0,0.3,0.12,6.47,93.41
5,2,0.5,0.7,0.0,0.0,0.4,0.26,6.3,93.44
5,2,0.5,0.7,0.0,0.0,0.5,0.1,6.17,93.73
5,2,0.5,0.7,0.0,0.0,0.6,0.18,6.07,93.75
5,2,0.5,0.7,0.0,0.0,0.7,0.26,6.26,93.48
5,2,0.5,0.7,0.0,0.0,0.8,0.19,6.04,93.77
5,2,0.5,0.7,0.0,0.0,0.9,0.19,5.99,93.82
5,2,0.5,0.7,0.0,0.0,1.0,0.22,6.2,93.58
5,2,0.5,0.7,0.0,0.1,0.0,6.21,68.74,25.05
5,2,0.5,0.7,0.0,0.1,0.1,0.09,29.14,70.77
5,2,0.5,0.7,0.0,0.1,0.2,0.25,15.96,83.79
5,2,0.5,0.7,0.0,0.1,0.3,0.08,13.22,86.7
5,2,0.5,0.7,0.0,0.1,0.4,0.03,11.14,88.83
5,2,0.5,0.7,0.0,0.1,0.5,0.18,11.12,88.7
5,2,0.5,0.7,0.0,0.1,0.6,0.09,8.88,91.03
5,2,0.5,0.7,0.0,0.1,0.7,0.12,8.05,91.83
5,2,0.5,0.7,0.0,0.1,0.8,0.1,8.34,91.56
5,2,0.5,0.7,0.0,0.1,0.9,0.08,7.67,92.25
5,2,0.5,0.7,0.0,0.1,1.0,0.05,6.91,93.04
5,2,0.5,0.7,0.0,0.2,0.0,8.74,66.78,24.48
5,2,0.5,0.7,0.0,0.2,0.1,0.07,37.69,62.24
5,2,0.5,0.7,0.0,0.2,0.2,0.05,23.91,76.04
5,2,0.5,0.7,0.0,0.2,0.3,0.02,19.94,80.04
5,2,0.5,0.7,0.0,0.2,0.4,0.07,14.1,85.83
5,2,0.5,0.7,0.0,0.2,0.5,0.08,14.7,85.22
5,2,0.5,0.7,0.0,0.2,0.6,0.02,12.18,87.8
5,2,0.5,0.7,0.0,0.2,0.7,0.07,10.22,89.71
5,2,0.5,0.7,0.0,0.2,0.8,0.07,9.1,90.83
5,2,0.5,0.7,0.0,0.2,0.9,0.04,8.82,91.14
5,2,0.5,0.7,0.0,0.2,1.0,0.14,6.73,93.13
5,2,0.5,0.7,0.0,0.3,0.0,10.37,64.96,24.67
5,2,0.5,0.7,0.0,0.3,0.1,0.05,45.56,54.39
5,2,0.5,0.7,0.0,0.3,0.2,0.03,32.16,67.81
5,2,0.5,0.7,0.0,0.3,0.3,0.06,24.48,75.46
5,2,0.5,0.7,0.0,0.3,0.4,0.09,21.86,78.05
5,2,0.5,0.7,0.0,0.3,0.5,0.01,17.25,82.74
5,2,0.5,0.7,0.0,0.3,0.6,0.04,14.5,85.46
5,2,0.5,0.7,0.0,0.3,0.7,0.05,12.51,87.44
5,2,0.5,0.7,0.0,0.3,0.8,0.03,11.82,88.15
5,2,0.5,0.7,0.0,0.3,0.9,0.04,9.92,90.04
5,2,0.5,0.7,0.0,0.3,1.0,0.15,8.86,90.99
5,2,0.5,0.7,0.0,0.4,0.0,9.21,65.74,25.05
5,2,0.5,0.7,0.0,0.4,0.1,0.0,49.93,50.07
5,2,0.5,0.7,0.0,0.4,0.2,0.01,34.72,65.27
5,2,0.5,0.7,0.0,0.4,0.3,0.03,29.24,70.73
5,2,0.5,0.7,0.0,0.4,0.4,0.04,20.72,79.24
5,2,0.5,0.7,0.0,0.4,0.5,0.02,21.22,78.76
5,2,0.5,0.7,0.0,0.4,0.6,0.11,16.15,83.74
5,2,0.5,0.7,0.0,0.4,0.7,0.07,13.75,86.18
5,2,0.5,0.7,0.0,0.4,0.8,0.04,13.1,86.86
5,2,0.5,0.7,0.0,0.4,0.9,0.07,10.91,89.02
5,2,0.5,0.7,0.0,0.4,1.0,0.1,8.96,90.94
5,2,0.5,0.7,0.0,0.5,0.0,7.89,67.2,24.91
5,2,0.5,0.7,0.0,0.5,0.1,0.02,53.09,46.89
5,2,0.5,0.7,0.0,0.5,0.2,0.04,39.77,60.19
5,2,0.5,0.7,0.0,0.5,0.3,0.04,34.25,65.71
5,2,0.5,0.7,0.0,0.5,0.4,0.04,25.13,74.83
5,2,0.5,0.7,0.0,0.5,0.5,0.09,21.18,78.73
5,2,0.5,0.7,0.0,0.5,0.6,0.07,20.09,79.84
5,2,0.5,0.7,0.0,0.5,0.7,0.04,14.35,85.61
5,2,0.5,0.7,0.0,0.5,0.8,0.09,13.22,86.69
5,2,0.5,0.7,0.0,0.5,0.9,0.08,12.3,87.62
5,2,0.5,0.7,0.0,0.5,1.0,0.03,10.92,89.05
5,2,0.5,0.7,0.0,0.6,0.0,8.69,66.95,24.36
5,2,0.5,0.7,0.0,0.6,0.1,0.0,51.74,48.26
5,2,0.5,0.7,0.0,0.6,0.2,0.04,43.75,56.21
5,2,0.5,0.7,0.0,0.6,0.3,0.03,34.68,65.29
5,2,0.5,0.7,0.0,0.6,0.4,0.02,28.5,71.48
5,2,0.5,0.7,0.0,0.6,0.5,0.02,24.84,75.14
5,2,0.5,0.7,0.0,0.6,0.6,0.02,21.58,78.4
5,2,0.5,0.7,0.0,0.6,0.7,0.06,16.09,83.85
5,2,0.5,0.7,0.0,0.6,0.8,0.09,13.93,85.98
