attack_start,attack_kind,prob_prebunk,prob_immune,prob_share_indifferent,prob_share_disinfo,prob_share_facts,s,i,r
5,2,1.0,0.7,0.0,0.0,0.0,44.41,6.13,49.46
5,2,1.0,0.7,0.0,0.0,0.1,0.22,6.12,93.66
5,2,1.0,0.7,0.0,0.0,0.2,0.22,6.2,93.58
5,2,1.0,0.7,0.0,0.0,0.3,0.33,6.18,93.49
5,2,1.0,0.7,0.0,0.0,0.4,0.21,6.16,93.63
5,2,1.0,0.7,0.0,0.0,0.5,0.25,6.12,93.63
5,2,1.0,0.7,0.0,0.0,0.6,0.14,6.12,93.74
5,2,1.0,0.7,0.0,0.0,0.7,0.24,6.12,93.64
5,2,1.0,0.7,0.0,0.0,0.8,0.38,6.18,93.44
5,2,1.0,0.7,0.0,0.0,0.9,0.15,5.98,93.87
5,2,1.0,0.7,0.0,0.0,1.0,0.27,6.19,93.54
5,2,1.0,0.7,0.0,0.1,0.0,8.11,44.14,47.75
5,2,1.0,0.7,0.0,0.1,0.1,0.02,11.58,88.4
5,2,1.0,0.7,0.0,0.1,0.2,0.11,9.12,90.77
5,2,1.0,0.7,0.0,0.1,0.3,0.03,8.15,91.82
5,2,1.0,0.7,0.0,0.1,0.4,0.08,7.27,92.65
5,2,1.0,0.7,0.0,0.1,0.5,0.09,7.16,92.75
5,2,1.0,0.7,0.0,0.1,0.6,0.08,6.65,93.27
5,2,1.0,0.7,0.0,0.1,0.7,0.07,6.88,93.05
5,2,1.0,0.7,0.0,0.1,0.8,0.07,6.69,93.24
5,2,1.0,0.7,0.0,0.1,0.9,0.08,6.61,93.31
5,2,1.0,0.7,0.0,0.1,1.0,0.12,6.38,93.5
5,2,1.0,0.7,0.0,0.2,0.0,12.09,38.1,49.81
5,2,1.0,0.7,0.0,0.2,0.1,0.03,17.73,82.24
5,2,1.0,0.7,0.0,0.2,0.2,0.01,11.82,88.17
5,2,1.0,0.7,0.0,0.2,0.3,0.05,10.0,89.95
5,2,1.0,0.7,0.0,0.2,0.4,0.12,8.62,91.26
5,2,1.0,0.7,0.0,0.2,0.5,0.16,7.57,92.27
5,2,1.0,0.7,0.0,0.2,0.6,0.1,7.83,92.07
5,2,1.0,0.7,0.0,0.2,0.7,0.06,7.0,92.94
5,2,1.0,0.7,0.0,0.2,0.8,0.05,6.66,93.29
5,2,1.0,0.7,0.0,0.2,0.9,0.0,6.9,93.1
