attack_start,attack_kind,prob_prebunk,prob_immune,prob_share_indifferent,prob_share_disinfo,prob_share_facts,s,i,r
5,2,0.1,0.5,0.0,0.0,0.0,88.27,6.14,5.59
5,2,0.1,0.5,0.0,0.0,0.1,36.02,6.08,57.9
5,2,0.1,0.5,0.0,0.0,0.2,15.21,6.1,78.69
5,2,0.1,0.5,0.0,0.0,0.3,5.59,6.12,88.29
5,2,0.1,0.5,0.0,0.0,0.4,3.75,6.35,89.9
5,2,0.1,0.5,0.0,0.0,0.5,3.81,5.96,90.23
5,2,0.1,0.5,0.0,0.0,0.6,2.12,6.2,91.68
5,2,0.1,0.5,0.0,0.0,0.7,2.59,6.24,91.17
5,2,0.1,0.5,0.0,0.0,0.8,2.85,6.05,91.1
5,2,0.1,0.5,0.0,0.0,0.9,2.45,6.22,91.33
5,2,0.1,0.5,0.0,0.0,1.0,2.89,6.03,91.08
5,2,0.1,0.5,0.0,0.1,0.0,9.66,84.64,5.7
5,2,0.1,0.5,0.0,0.1,0.1,3.4,78.37,18.23
5,2,0.1,0.5,0.0,0.1,0.2,1.0,68.07,30.93
5,2,0.1,0.5,0.0,0.1,0.3,0.52,58.2,41.28
5,2,0.1,0.5,0.0,0.1,0.4,0.78,43.46,55.76
5,2,0.1,0.5,0.0,0.1,0.5,0.65,41.9,57.45
5,2,0.1,0.5,0.0,0.1,0.6,0.4,32.16,67.44
5,2,0.1,0.5,0.0,0.1,0.7,0.48,25.99,73.53
5,2,0.1,0.5,0.0,0.1,0.8,0.59,22.33,77.08
5,2,0.1,0.5,0.0,0.1,0.9,0.81,19.5,79.69
5,2,0.1,0.5,0.0,0.1,1.0,0.98,15.52,83.5
5,2,0.1,0.5,0.0,0.2,0.0,7.99,86.17,5.84
5,2,0.1,0.5,0.0,0.2,0.1,5.04,76.86,18.1
5,2,0.1,0.5,0.0,0.2,0.2,0.91,75.4,23.69
5,2,0.1,0.5,0.0,0.2,0.3,0.28,72.19,27.53
5,2,0.1,0.5,0.0,0.2,0.4,0.49,60.86,38.65
5,2,0.1,0.5,0.0,0.2,0.5,0.46,54.93,44.61
5,2,0.1,0.5,0.0,0.2,0.6,0.15,45.42,54.43
5,2,0.1,0.5,0.0,0.2,0.7,0.35,35.92,63.73
5,2,0.1,0.5,0.0,0.2,0.8,0.49,36.68,62.83
5,2,0.1,0.5,0.0,0.2,0.9,0.57,30.36,69.07
5,2,0.1,0.5,0.0,0.2,1.0,0.58,24.87,74.55
5,2,0.1,0.5,0.0,0.3,0.0,5.27,88.67,6.06
5,2,0.1,0.5,0.0,0.3,0.1,4.44,77.3,18.26
5,2,0.1,0.5,0.0,0.3,0.2,0.81,79.67,19.52
5,2,0.1,0.5,0.0,0.3,0.3,0.55,73.22,26.23
5,2,0.1,0.5,0.0,0.3,0.4,0.33,68.04,31.63
5,2,0.1,0.5,0.0,0.3,0.5,0.48,61.9,37.62
5,2,0.1,0.5,0.0,0.3,0.6,0.62,50.51,48.87
5,2,0.1,0.5,0.0,0.3,0.7,0.39,49.92,49.69
5,2,0.1,0.5,0.0,0.3,0.8,0.72,44.61,54.67
5,2,0.1,0.5,0.0,0.3,0.9,0.42,38.82,60.76
5,2,0.1,0.5,0.0,0.3,1.0,0.4,29.66,69.94
5,2,0.1,0.5,0.0,0.4,0.0,7.65,86.57,5.78
5,2,0.1,0.5,0.0,0.4,0.1,4.21,83.51,12.28
5,2,0.1,0.5,0.0,0.4,0.2,1.82,77.21,20.97
5,2,0.1,0.5,0.0,0.4,0.3,0.21,75.21,24.58
5,2,0.1,0.5,0.0,0.4,0.4,0.16,76.94,22.9
5,2,0.1,0.5,0.0,0.4,0.5,0.49,66.53,32.98
5,2,0.1,0.5,0.0,0.4,0.6,0.37,64.62,35.01
5,2,0.1,0.5,0.0,0.4,0.7,0.15,56.44,43.41
5,2,0.1,0.5,0.0,0.4,0.8,0.27,53.93,45.8
5,2,0.1,0.5,0.0,0.4,0.9,0.21,42.23,57.56
5,2,0.1,0.5,0.0,0.4,1.0,0.58,36.48,62.94
5,2,0.1,0.5,0.0,0.5,0.0,8.76,85.72,5.52
5,2,0.1,0.5,0.0,0.5,0.1,3.99,81.27,14.74
5,2,0.1,0.5,0.0,0.5,0.2,0.83,81.79,17.38
5,2,0.1,0.5,0.0,0.5,0.3,0.28,80.22,19.5
5,2,0.1,0.5,0.0,0.5,0.4,0.15,79.29,20.56
5,2,0.1,0.5,0.0,0.5,0.5,0.08,74.0,25.92
5,2,0.1,0.5,0.0,0.5,0.6,0.22,67.31,32.47
5,2,0.1,0.5,0.0,0.5,0.7,0.16,63.15,36.69
5,2,0.1,0.5,0.0,0.5,0.8,0.29,56.38,43.33
5,2,0.1,0.5,0.0,0.5,0.9,0.2,46.55,53.25
5,2,0.1,0.5,0.0,0.5,1.0,0.43,39.99,59.58
5,2,0.1,0.5,0.0,0.6,0.0,10.43,83.86,5.71
5,2,0.1,0.5,0.0,0.6,0.1,3.66,82.28,14.06
5,2,0.1,0.5,0.0,0.6,0.2,1.38,82.52,16.1
5,2,0.1,0.5,0.0,0.6,0.3,0.49,80.61,18.9
5,2,0.1,0.5,0.0,0.6,0.4,0.04,83.37,16.59
5,2,0.1,0.5,0.0,0.6,0.5,0.33,75.56,24.11
5,2,0.1,0.5,0.0,0.6,0.6,0.07,72.36,27.57
5,2,0.1,0.5,0.0,0.6,0.7,0.16,69.35,30.49
5,2,0.1,0.5,0.0,0.6,0.8,0.27,54.96,44.77
5,2,0.1,0.5,0.0,0.6,0.9,0.42,55.76,43.82
5,2,0.1,0.5,0.0,0.6,1.0,0.29,48.01,51.7
5,2,0.1,0.5,0.0,0.7,0.0,8.61,85.48,5.91
5,2,0.1,0.5,0.0,0.7,0.1,3.42,84.15,12.43
5,2,0.1,0.5,0.0,0.7,0.2,0.82,82.9,16.28
5,2,0.1,0.5,0.0,0.7,0.3,0.2,84.69,15.11
5,2,0.1,0.5,0.0,0.7,0.4,0.43,78.3,21.27
5,2,0.1,0.5,0.0,0.7,0.5,0.13,78.78,21.09
5,2,0.1,0.5,0.0,0.7,0.6,0.42,70.37,29.21
5,2,0.1,0.5,0.0,0.7,0.7,0.49,68.43,31.08
5,2,0.1,0.5,0.0,0.7,0.8,0.23,68.46,31.31
5,2,0.1,0.5,0.0,0.7,0.9,0.36,58.21,41.43
5,2,0.1,0.5,0.0,0.7,1.0,0.35,50.2,49.45
5,2,0.1,0.5,0.0,0.8,0.0,10.14,84.09,5.77
5,2,0.1,0.5,0.0,0.8,0.1,3.69,85.96,10.35
5,2,0.1,0.5,0.0,0.8,0.2,0.58,86.1,13.32
5,2,0.1,0.5,0.0,0.8,0.3,0.28,80.72,19.0
5,2,0.1,0.5,0.0,0.8,0.4,0.24,77.36,22.4
5,2,0.1,0.5,0.0,0.8,0.5,0.1,76.83,23.07
5,2,0.1,0.5,0.0,0.8,0.6,0.04,73.98,25.98
5,2,0.1,0.5,0.0,0.8,0.7,0.35,69.11,30.54
5,2,0.1,0.5,0.0,0.8,0.8,0.37,67.17,32.46
5,2,0.1,0.5,0.0,0.8,0.9,0.21,56.51,43.28
5,2,0.1,0.5,0.0,0.8,1.0,0.31,51.92,47.77
5,2,0.1,0.5,0.0,0.9,0.0,6.04,88.33,5.63
5,2,0.1,0.5,0.0,0.9,0.1,3.24,85.06,11.7
5,2,0.1,0.5,0.0,0.9,0.2,1.27,83.49,15.24
5,2,0.1,0.5,0.0,0.9,0.3,0.24,85.19,14.57
5,2,0.1,0.5,0.0,0.9,0.4,0.43,77.91,21.66
5,2,0.1,0.5,0.0,0.9,0.5,0.29,74.63,25.08
5,2,0.1,0.5,0.0,0.9,0.6,0.18,75.72,24.1
5,2,0.1,0.5,0.0,0.9,0.7,0.3,68.1,31.6
5,2,0.1,0.5,0.0,0.9,0.8,0.16,65.78,34.06
5,2,0.1,0.5,0.0,0.9,0.9,0.14,67.81,32.05
5,2,0.1,0.5,0.0,0.9,1.0,0.48,51.45,48.07
5,2,0.1,0.5,0.0,1.0,0.0,7.09,87.08,5.83
5,2,0.1,0.5,0.0,1.0,0.1,4.18,82.32,13.5
5,2,0.1,0.5,0.0,1.0,0.2,0.5,87.96,11.54
5,2,0.1,0.5,0.0,1.0,0.3,0.83,81.1,18.07
5,2,0.1,0.5,0.0,1.0,0.4,0.37,78.62,21.01
5,2,0.1,0.5,0.0,1.0,0.5,0.47,74.23,25.3
5,2,0.1,0.5,0.0,1.0,0.6,0.19,74.25,25.56
5,2,0.1,0.5,0.0,1.0,0.7,0.17,76.84,22.99
5,2,0.1,0.5,0.0,1.0,0.8,0.18,67.58,32.24
5,2,0.1,0.5,0.0,1.0,0.9,0.36,67.55,32.09
5,2,0.1,0.5,0.0,1.0,1.0,0.44,59.09,40.47
5,2,0.1,0.5,0.1,0.0,0.0,88.27,5.89,5.84
5,2,0.1,0.5,0.1,0.0,0.1,36.87,6.22,56.91
5,2,0.1,0.5,0.1,0.0,0.2,15.4,6.07,78.53
5,2,0.1,0.5,0.1,0.0,0.3,6.34,6.15,87.51
5,2,0.1,0.5,0.1,0.0,0.4,5.04,6.13,88.83
5,2,0.1,0.5,0.1,0.0,0.5,2.61,6.11,91.28
5,2,0.1,0.5,0.1,0.0,0.6,3.48,6.34,90.18
5,2,0.1,0.5,0.1,0.0,0.7,2.18,5.98,91.84
5,2,0.1,0.5,0.1,0.0,0.8,2.33,6.01,91.66
5,2,0.1,0.5,0.1,0.0,0.9,2.89,6.09,91.02
5,2,0.1,0.5,0.1,0.0,1.0,3.07,6.29,90.64
5,2,0.1,0.5,0.1,0.1,0.0,5.16,89.04,5.8
5,2,0.1,0.5,0.1,0.1,0.1,3.65,77.09,19.26
5,2,0.1,0.5,0.1,0.1,0.2,3.5,52.48,44.02
5,2,0.1,0.5,0.1,0.1,0.3,1.05,53.74,45.21
5,2,0.1,0.5,0.1,0.1,0.4,0.45,40.97,58.58
5,2,0.1,0.5,0.1,0.1,0.5,0.59,33.27,66.14
5,2,0.1,0.5,0.1,0.1,0.6,0.38,28.56,71.06
5,2,0.1,0.5,0.1,0.1,0.7,0.44,20.48,79.08
5,2,0.1,0.5,0.1,0.1,0.8,0.69,21.41,77.9
5,2,0.1,0.5,0.1,0.1,0.9,0.8,17.38,81.82
5,2,0.1,0.5,0.1,0.1,1.0,0.62,16.43,82.95
5,2,0.1,0.5,0.1,0.2,0.0,5.27,89.1,5.63
5,2,0.1,0.5,0.1,0.2,0.1,2.66,80.88,16.46
5,2,0.1,0.5,0.1,0.2,0.2,1.15,70.87,27.98
5,2,0.1,0.5,0.1,0.2,0.3,0.42,63.87,35.71
5,2,0.1,0.5,0.1,0.2,0.4,0.23,55.14,44.63
5,2,0.1,0.5,0.1,0.2,0.5,0.33,47.25,52.42
5,2,0.1,0.5,0.1,0.2,0.6,0.31,40.69,59.0
5,2,0.1,0.5,0.1,0.2,0.7,0.45,36.86,62.69
5,2,0.1,0.5,0.1,0.2,0.8,0.86,35.51,63.63
5,2,0.1,0.5,0.1,0.2,0.9,0.54,25.74,73.72
5,2,0.1,0.5,0.1,0.2,1.0,0.39,21.03,78.58
5,2,0.1,0.5,0.1,0.3,0.0,6.99,87.13,5.88
