attack_start,attack_kind,prob_prebunk,prob_immune,prob_share_indifferent,prob_share_disinfo,prob_share_facts,s,i,r
5,1,0.7,0.9,0.0,0.0,0.0,59.65,4.42,35.93
5,1,0.7,0.9,0.0,0.0,0.1,0.0,4.48,95.52
5,1,0.7,0.9,0.0,0.0,0.2,0.0,4.37,95.63
5,1,0.7,0.9,0.0,0.0,0.3,0.0,4.27,95.73
5,1,0.7,0.9,0.0,0.0,0.4,0.0,4.46,95.54
5,1,0.7,0.9,0.0,0.0,0.5,0.0,3.9,96.1
5,1,0.7,0.9,0.0,0.0,0.6,0.0,3.91,96.09
5,1,0.7,0.9,0.0,0.0,0.7,0.0,4.3,95.7
5,1,0.7,0.9,0.0,0.0,0.8,0.0,3.98,96.02
5,1,0.7,0.9,0.0,0.0,0.9,0.0,3.64,96.36
5,1,0.7,0.9,0.0,0.0,1.0,0.01,3.91,96.08
5,1,0.7,0.9,0.0,0.1,0.0,22.0,42.17,35.83
5,1,0.7,0.9,0.0,0.1,0.1,0.0,12.98,87.02
5,1,0.7,0.9,0.0,0.1,0.2,0.0,7.67,92.33
5,1,0.7,0.9,0.0,0.1,0.3,0.0,6.06,93.94
5,1,0.7,0.9,0.0,0.1,0.4,0.0,4.86,95.14
5,1,0.7,0.9,0.0,0.1,0.5,0.0,4.54,95.46
5,1,0.7,0.9,0.0,0.1,0.6,0.0,4.78,95.22
5,1,0.7,0.9,0.0,0.1,0.7,0.0,4.56,95.44
5,1,0.7,0.9,0.0,0.1,0.8,0.0,3.96,96.04
5,1,0.7,0.9,0.0,0.1,0.9,0.0,3.99,96.01
5,1,0.7,0.9,0.0,0.1,1.0,0.0,4.15,95.85
5,1,0.7,0.9,0.0,0.2,0.0,12.83,51.5,35.67
5,1,0.7,0.9,0.0,0.2,0.1,0.0,17.69,82.31
5,1,0.7,0.9,0.0,0.2,0.2,0.0,11.95,88.05
5,1,0.7,0.9,0.0,0.2,0.3,0.0,8.28,91.72
5,1,0.7,0.9,0.0,0.2,0.4,0.0,5.63,94.37
5,1,0.7,0.9,0.0,0.2,0.5,0.0,5.93,94.07
5,1,0.7,0.9,0.0,0.2,0.6,0.0,5.01,94.99
5,1,0.7,0.9,0.0,0.2,0.7,0.0,4.47,95.53
5,1,0.7,0.9,0.0,0.2,0.8,0.0,4.77,95.23
5,1,0.7,0.9,0.0,0.2,0.9,0.0,4.53,95.47
5,1,0.7,0.9,0.0,0.2,1.0,0.0,4.34,95.66
5,1,0.7,0.9,0.0,0.3,0.0,17.95,46.02,36.03
5,1,0.7,0.9,0.0,0.3,0.1,0.0,20.51,79.49
5,1,0.7,0.9,0.0,0.3,0.2,0.0,13.81,86.19
5,1,0.7,0.9,0.0,0.3,0.3,0.0,10.46,89.54
5,1,0.7,0.9,0.0,0.3,0.4,0.01,7.25,92.74
5,1,0.7,0.9,0.0,0.3,0.5,0.01,6.2,93.79
5,1,0.7,0.9,0.0,0.3,0.6,0.0,5.52,94.48
5,1,0.7,0.9,0.0,0.3,0.7,0.0,4.81,95.19
5,1,0.7,0.9,0.0,0.3,0.8,0.01,5.08,94.91
5,1,0.7,0.9,0.0,0.3,0.9,0.0,4.72,95.28
5,1,0.7,0.9,0.0,0.3,1.0,0.0,4.51,95.49
5,1,0.7,0.9,0.0,0.4,0.0,16.22,47.49,36.29
5,1,0.7,0.9,0.0,0.4,0.1,0.0,23.88,76.12
5,1,0.7,0.9,0.0,0.4,0.2,0.0,15.43,84.57
5,1,0.7,0.9,0.0,0.4,0.3,0.0,10.54,89.46
5,1,0.7,0.9,0.0,0.4,0.4,0.0,7.89,92.11
5,1,0.7,0.9,0.0,0.4,0.5,0.0,7.0,93.0
5,1,0.7,0.9,0.0,0.4,0.6,0.0,5.88,94.12
5,1,0.7,0.9,0.0,0.4,0.7,0.0,6.08,93.92
5,1,0.7,0.9,0.0,0.4,0.8,0.0,5.2,94.8
5,1,0.7,0.9,0.0,0.4,0.9,0.0,4.65,95.35
5,1,0.7,0.9,0.0,0.4,1.0,0.0,4.68,95.32
5,1,0.7,0.9,0.0,0.5,0.0,17.84,46.31,35.85
5,1,0.7,0.9,0.0,0.5,0.1,0.0,26.85,73.15
5,1,0.7,0.9,0.0,0.5,0.2,0.0,16.47,83.53
5,1,0.7,0.9,0.0,0.5,0.3,0.0,12.32,87.68
5,1,0.7,0.9,0.0,0.5,0.4,0.0,8.58,91.42
5,1,0.7,0.9,0.0,0.5,0.5,0.0,7.32,92.68
5,1,0.7,0.9,0.0,0.5,0.6,0.0,5.72,94.28
5,1,0.7,0.9,0.0,0.5,0.7,0.0,5.77,94.23
5,1,0.7,0.9,0.0,0.5,0.8,0.0,5.27,94.73
