attack_start,attack_kind,prob_prebunk,prob_immune,prob_share_indifferent,prob_share_disinfo,prob_share_facts,s,i,r
5,1,0.6,1.0,0.0,0.0,0.0,63.72,4.72,31.56
5,1,0.6,1.0,0.0,0.0,0.1,0.0,4.47,95.53
5,1,0.6,1.0,0.0,0.0,0.2,0.0,4.42,95.58
5,1,0.6,1.0,0.0,0.0,0.3,0.0,4.37,95.63
5,1,0.6,1.0,0.0,0.0,0.4,0.0,4.24,95.76
5,1,0.6,1.0,0.0,0.0,0.5,0.0,4.17,95.83
5,1,0.6,1.0,0.0,0.0,0.6,0.0,4.39,95.61
5,1,0.6,1.0,0.0,0.0,0.7,0.0,3.63,96.37
5,1,0.6,1.0,0.0,0.0,0.8,0.0,3.99,96.01
5,1,0.6,1.0,0.0,0.0,0.9,0.0,3.94,96.06
5,1,0.6,1.0,0.0,0.0,1.0,0.0,3.63,96.37
5,1,0.6,1.0,0.0,0.1,0.0,15.28,54.02,30.7
5,1,0.6,1.0,0.0,0.1,0.1,0.0,13.98,86.02
5,1,0.6,1.0,0.0,0.1,0.2,0.0,7.71,92.29
5,1,0.6,1.0,0.0,0.1,0.3,0.0,6.25,93.75
5,1,0.6,1.0,0.0,0.1,0.4,0.0,5.96,94.04
5,1,0.6,1.0,0.0,0.1,0.5,0.0,5.41,94.59
5,1,0.6,1.0,0.0,0.1,0.6,0.0,4.39,95.61
5,1,0.6,1.0,0.0,0.1,0.7,0.0,4.25,95.75
5,1,0.6,1.0,0.0,0.1,0.8,0.0,4.53,95.47
5,1,0.6,1.0,0.0,0.1,0.9,0.0,4.06,95.94
5,1,0.6,1.0,0.0,0.1,1.0,0.0,3.94,96.06
5,1,0.6,1.0,0.0,0.2,0.0,17.1,52.16,30.74
5,1,0.6,1.0,0.0,0.2,0.1,0.0,19.87,80.13
5,1,0.6,1.0,0.0,0.2,0.2,0.0,11.16,88.84
5,1,0.6,1.0,0.0,0.2,0.3,0.0,7.82,92.18
5,1,0.6,1.0,0.0,0.2,0.4,0.0,6.93,93.07
5,1,0.6,1.0,0.0,0.2,0.5,0.0,7.37,92.63
5,1,0.6,1.0,0.0,0.2,0.6,0.0,5.88,94.12
5,1,0.6,1.0,0.0,0.2,0.7,0.0,5.06,94.94
5,1,0.6,1.0,0.0,0.2,0.8,0.0,4.73,95.27
5,1,0.6,1.0,0.0,0.2,0.9,0.0,5.03,94.97
5,1,0.6,1.0,0.0,0.2,1.0,0.0,4.5,95.5
5,1,0.6,1.0,0.0,0.3,0.0,16.54,51.64,31.82
5,1,0.6,1.0,0.0,0.3,0.1,0.0,27.21,72.79
5,1,0.6,1.0,0.0,0.3,0.2,0.0,15.9,84.1
5,1,0.6,1.0,0.0,0.3,0.3,0.0,9.51,90.49
5,1,0.6,1.0,0.0,0.3,0.4,0.0,10.22,89.78
5,1,0.6,1.0,0.0,0.3,0.5,0.0,7.52,92.48
5,1,0.6,1.0,0.0,0.3,0.6,0.0,5.8,94.2
5,1,0.6,1.0,0.0,0.3,0.7,0.0,5.0,95.0
5,1,0.6,1.0,0.0,0.3,0.8,0.0,5.38,94.62
5,1,0.6,1.0,0.0,0.3,0.9,0.0,4.73,95.27
